,0
HNF1B|6928,0.9659606347915355
TMPRSS2|7113,0.9072103066627357
SPDEF|25803,0.8777699450749852
EFHD1|80303,0.8356700011797078
HOMER2|9455,0.8201860455061778
GAL3ST1|9514,0.809036838506723
IHH|3549,0.8075678308182419
TRPS1|7227,0.8010439792620507
EMX2OS|196047,0.8007075480455355
FOXA1|3169,0.7887189241463903
OR51E2|81285,0.7873718846740483
HNF4A|3172,0.7749532232278891
CEACAM6|4680,0.7711687224072796
EMX2|2018,0.7711456455038073
HKDC1|80201,0.7657452904704685
MYB|4602,0.7486239956918821
GALNT6|11226,0.7457056927693311
SFTPA2|729238,0.7420955244559211
MREG|55686,0.7395067548912424
TFAP2A|7020,0.7352638364694277
GRHL2|79977,0.7328203125737143
SLC4A4|8671,0.7275430519423751
TCF21|6943,0.7200208985791485
KLK4|9622,0.71224383934798
ACPP|55,0.7073588079332558
C9orf167|54863,0.7060176738074235
NKX3-1|4824,0.7054656065673024
PAX2|5076,0.7029191793771319
SLCO4C1|353189,0.7020467625654492
SERPINB1|1992,0.6990139017855854
KCNE3|10008,0.6970106359589694
EPCAM|4072,0.6934491284506472
HHLA2|11148,0.6915795411159609
TRPV6|55503,0.6907358785094071
SLC3A1|6519,0.6906856429470893
TSPAN8|7103,0.690330740894485
SGEF|26084,0.688435366170054
C19orf77|284422,0.6868428845128145
HOXA11AS|221883,0.6853886718735738
TBC1D9|23158,0.6847565305444143
MST1R|4486,0.6826285155126735
ARHGAP6|395,0.6815889448334205
TFAP2C|7022,0.6814105306344262
SALL1|6299,0.6807701909349808
ABCC4|10257,0.6770563896956767
DMGDH|29958,0.6752203635742577
SLC39A6|25800,0.6745141390323364
LMX1B|4010,0.6735260377812731
GALNT14|79623,0.671607796030298
C6orf223|221416,0.6666235390119293
HOXA9|3205,0.6647785028679207
FOLH1|2346,0.6639262790417946
TBX3|6926,0.6635335954699999
C1orf116|79098,0.6633285908077382
KBTBD11|9920,0.6631199182840386
FAM176A|84141,0.6626273587041676
CEACAM5|1048,0.6623873341961657
TMEM176A|55365,0.6609901710115369
ANXA4|307,0.6595549571736798
C9orf152|401546,0.6586050286279965
HOXA10|3206,0.6577014156272722
CREB3L4|148327,0.6561019334745071
NAPSA|9476,0.6560854708673909
BHMT2|23743,0.6532006789356397
EPB41L4B|54566,0.6523037067573982
HMOX1|3162,0.6516198282198986
PCA3|50652,0.6498625655839907
WNK2|65268,0.648216322080807
STX19|415117,0.6477702009133817
EPN3|55040,0.647577120156573
AMN|81693,0.645602675358337
TJP3|27134,0.6454000250541958
METTL7B|196410,0.643896864411238
HMGA1|3159,0.6411048524531107
ACSM5|54988,0.6395334546157245
TMEM79|84283,0.6394129319507362
ACADL|33,0.6390732422185161
ALDH3B1|221,0.6354738756658074
ESR1|2099,0.6346549059527951
KLKP1|606293,0.6326780651771229
GCNT3|9245,0.6316345567145314
SFTPD|6441,0.6307823844057827
CLRN3|119467,0.6295738404756266
C20orf56|140828,0.6285091317591287
GPX3|2878,0.6284662149497071
C18orf45|85019,0.6278467770930019
UGT2B7|7364,0.6268537192695016
ETV4|2118,0.626524760383891
ANKS4B|257629,0.6255476292671092
LRRC26|389816,0.6254249664892426
ARSE|415,0.6249533674663346
CCL15|6359,0.6247915354400411
HOXA11|3207,0.6244577759499153
ST6GALNAC1|55808,0.6222420644114499
PDE9A|5152,0.6216271626283434
SYT7|9066,0.6212165324691976
GATA3|2625,0.6207230156604888
C14orf105|55195,0.6201308492735231
SLC22A2|6582,0.619805761005416
IKBIP|121457,0.6194907569298089
TMEM176B|28959,0.6182765690038239
CDK18|5129,0.6181791595767636
UGT2A3|79799,0.6178598664859378
TINAG|27283,0.6177858511359224
MSMB|4477,0.6168090022736215
CRYL1|51084,0.6159203759000742
TMEM37|140738,0.6158974888900881
FOXA2|3170,0.6157845400098494
BNIP3|664,0.6155309623149501
IRX5|10265,0.615145862150076
KIF5C|3800,0.6147673861450724
GLYATL1|92292,0.6136108121586639
MET|4233,0.6131294945479504
PFKP|5214,0.6130998023136365
ALDH3B2|222,0.6126081112705246
NR1H4|9971,0.6109821727143319
CHRM1|1128,0.6104408645779307
CDH16|1014,0.6100017853791913
CDHR5|53841,0.6088967118403046
VIL1|7429,0.6085481000896673
C10orf108|414235,0.60838017690066
ZG16B|124220,0.6081055960289843
DRAM1|55332,0.6077743114370677
CFTR|1080,0.6074857736669474
SEC22C|9117,0.6070627965878979
LRP2|4036,0.6054172599700622
PRELID2|153768,0.6047395474291806
FUT2|2524,0.6045581862846328
CLDN2|9075,0.6044085628949227
FERMT1|55612,0.6039216813008212
MOGAT3|346606,0.6038014391769921
SCTR|6344,0.6026216892318834
TRIM15|89870,0.6021390384314986
SHH|6469,0.6016422655407347
MYOM3|127294,0.6015135691979228
PPP1R1B|84152,0.6014165414408543
CANT1|124583,0.6006856333574659
ST14|6768,0.6005967889397252
LOC100130933|100130933,0.6003878636567159
VAV3|10451,0.6001906192799447
PLA2G4F|255189,0.6001446925761988
VDR|7421,0.5984966987471945
IRX4|50805,0.598479934338457
CRABP2|1382,0.5983199786337645
USH1C|10083,0.5982331408105028
WDR91|29062,0.5981047576233764
FMO1|2326,0.598045478677379
IGSF9|57549,0.5961704921665463
C9orf140|89958,0.5961364318478728
CYP2S1|29785,0.5958179247648152
FAM149A|25854,0.5957863324496642
PKP3|11187,0.5957264725779832
ATP10B|23120,0.5956850447677462
FAM13A|10144,0.5954074276287662
PRLR|5618,0.5948671009837758
MYO7B|4648,0.5947533898120825
LRRC15|131578,0.594694667385838
SFTA1P|207107,0.5939743417241561
SFTA2|389376,0.593636915997777
CA9|768,0.5935348192898653
SLC6A12|6539,0.5931528545820053
CASZ1|54897,0.5925025946423053
VIPR1|7433,0.5920165091499585
SLC16A3|9123,0.5910287485322496
KLK3|354,0.5904059695867014
ACY3|91703,0.589568391345137
EN1|2019,0.5894080848276055
TNFAIP6|7130,0.5893938275970163
FOXF1|2294,0.5876293421212788
DPYS|1807,0.5872732638222475
SYTL1|84958,0.587083091471692
FAM108C1|58489,0.5869680705219964
FUT3|2525,0.5869247962127633
CNDP2|55748,0.5863840134421532
CDX2|1045,0.5861307815817169
HOXA13|3209,0.585901809954485
STYK1|55359,0.5849737820091021
TRIM10|10107,0.5847637279826843
TMEM27|57393,0.5847166194347937
ERBB4|2066,0.583087519467651
TGFA|7039,0.58290839966107
COL4A3|1285,0.5824722980515182
RASGRP3|25780,0.5824469403944337
NLGN1|22871,0.5815963230739685
HOXB13|10481,0.5796286396301151
PVRL4|81607,0.5789525735169527
PPAP2A|8611,0.5787545614664631
KRBA1|84626,0.5787270497589108
OR51E1|143503,0.578657311852323
LYPD3|27076,0.5778416768713066
FZD5|7855,0.5774744512576235
SLC47A1|55244,0.5767970619511922
KLK15|55554,0.5765062829370065
MTL5|9633,0.5755881068620428
TRIM55|84675,0.5750305376253233
SFTPA1|653509,0.5750303298699566
GLYAT|10249,0.574005688040018
AQP4|361,0.5738060653408512
PM20D2|135293,0.5735982658211449
ACMSD|130013,0.5732918725213165
